Wallet No,Address,Balance,Age,Occupation,Loan Approval,Balance Deviation (CV),Send Money_1,Send Money_2,Send Money_3,Received Money_1,Received Money_2,Received Money_3,Cash In_1,Cash In_2,Cash In_3,Cash Out_1,Cash Out_2,Cash Out_3,Make Payment_1,Make Payment_2,Make Payment_3,Pay Bill_1,Pay Bill_2,Add Money_1,Add Money_2,Add Money_3,Fund Transfer_1,Fund Transfer_2,Fund Transfer_3,Request Money,Remittance_1,Remittance_2,Donation_1,Donation_2,Others_1,Others_2,Others_3
1229688695,Rural,2947.89,63,Engineer,Not Eligible,67.28,0,1,1,2,2,0,0,1,0,1,2,1,3,2,0,3,2,0,1,0,0,1,0,2,1,1,0,1,0,1,2
1790301217,Urban,1206.11,28,Farmer,Not Eligible,62.74,1,1,0,2,0,0,0,0,0,1,0,0,2,2,0,0,2,1,0,0,1,0,0,2,2,1,0,3,0,4,1
1266795908,Rural,2037.21,27,Farmer,Not Eligible,64.48,0,1,0,0,0,0,0,0,0,0,3,0,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,5,0
1722232937,Urban,1151.74,26,Lawyer,Not Eligible,68.53,0,1,1,2,2,1,1,2,0,3,2,0,0,1,0,0,0,1,1,0,2,1,0,2,0,1,0,3,0,1,1
1230307220,Rural,2709.11,23,Student,Not Eligible,64.45,2,0,1,2,1,0,0,0,0,3,0,1,3,1,0,0,2,1,1,0,2,0,0,2,2,0,0,1,1,1,2
1408971396,Urban,1746.08,20,Farmer,Not Eligible,67.06,1,1,1,0,2,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,3,1
1109897485,Rural,1148.23,29,Farmer,Not Eligible,60.16,2,1,0,0,1,0,2,0,0,1,3,1,0,1,0,2,0,1,1,0,1,0,0,0,2,1,0,0,0,5,0
1042314102,Rural,1031.13,48,Doctor,Not Eligible,69.75,0,0,1,3,2,0,1,0,0,2,1,1,1,0,0,0,2,0,1,0,0,0,0,2,1,1,0,1,0,1,1
1612134298,Urban,1137.24,41,Lawyer,Not Eligible,60.88,1,0,0,1,1,1,0,2,0,3,2,1,3,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,5,1
1736229510,Rural,2392.94,25,Business,Not Eligible,63.57,0,1,1,0,1,1,2,0,0,3,3,1,2,0,0,2,0,2,1,0,2,0,0,1,0,0,0,0,0,0,2
1273642506,Rural,2902.48,60,Farmer,Not Eligible,63.5,2,1,1,1,1,1,2,2,0,1,0,1,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,3,1,5,0
1030628237,Urban,1755.03,18,Student,Not Eligible,64.47,0,0,1,3,0,1,2,1,0,2,3,1,0,2,0,2,0,1,0,0,0,1,0,0,2,1,0,1,0,2,0
1608364940,Rural,642.96,52,Engineer,Not Eligible,62.25,0,1,1,0,2,0,1,0,0,1,3,0,3,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,3,1
1071870115,Rural,2147.42,62,Lawyer,Not Eligible,61.22,0,2,1,2,0,1,0,2,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,1,0,0,1,1,5,0
1432904433,Urban,1321.37,24,Student,Not Eligible,69.17,0,1,1,3,0,1,1,1,0,3,0,0,2,1,0,2,2,0,1,0,0,0,0,2,2,0,0,1,1,1,1
1843041238,Rural,2191.21,47,Farmer,Not Eligible,61.3,2,2,0,2,2,1,2,2,0,2,1,0,2,2,0,3,0,2,1,0,2,1,0,1,2,1,0,2,0,2,1
1834179421,Rural,679.13,19,Student,Not Eligible,66.91,1,1,1,1,0,1,0,1,0,3,0,1,2,0,0,1,1,0,1,0,1,0,0,2,0,1,0,2,0,0,1
1255163575,Rural,1512.85,21,Student,Not Eligible,69.89,1,0,1,0,2,0,1,0,0,1,3,1,0,1,0,1,0,1,1,0,2,1,0,1,2,0,0,3,1,3,1
1672394630,Rural,1751.85,22,Farmer,Not Eligible,62.51,0,1,1,2,1,0,2,0,0,0,3,0,3,1,0,0,2,2,1,0,0,0,0,2,2,0,0,2,0,4,2
1321355801,Rural,1750.1,45,Govt. Service,Not Eligible,64.1,2,0,0,1,0,1,0,2,0,2,1,1,0,2,0,1,0,1,0,0,1,1,0,2,0,1,0,2,1,4,0
1434173804,Urban,1438.11,18,Student,Not Eligible,60.76,2,0,0,0,0,1,2,1,0,2,0,0,3,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,3,1
1392303301,Rural,2907.04,39,Doctor,Not Eligible,61.71,0,1,1,0,0,1,1,1,0,0,3,0,3,0,0,3,0,1,1,0,0,1,0,0,2,1,0,0,0,3,1
1372256215,Urban,2074.67,47,Doctor,Not Eligible,68.65,1,2,1,3,2,1,1,0,0,3,3,0,3,1,0,2,1,2,1,0,0,1,0,0,2,1,0,0,0,4,2
1045640360,Urban,1659.2,23,Student,Not Eligible,69.51,2,2,1,0,0,0,0,1,0,0,3,1,3,1,0,3,2,1,1,0,1,1,0,1,1,1,0,3,0,3,1
1447004002,Rural,2121.35,22,Student,Not Eligible,65.93,2,1,1,2,1,0,1,0,0,3,2,0,0,0,0,0,0,1,1,0,2,1,0,1,1,1,0,1,0,4,0
1516178849,Urban,2744.84,64,Farmer,Not Eligible,65.75,2,1,1,2,2,1,2,0,0,3,3,1,0,0,0,3,1,2,0,0,2,1,0,0,2,0,0,3,1,5,2
1042575872,Rural,2859.51,34,Farmer,Not Eligible,66.03,3,2,1,2,1,1,0,1,0,3,2,1,2,1,0,3,2,0,1,0,2,0,0,1,0,0,0,2,1,5,0
1296180911,Rural,1096.66,19,Student,Not Eligible,65.73,3,1,1,1,2,1,0,2,0,3,2,1,2,2,0,3,1,1,1,0,0,1,0,2,2,1,0,2,0,1,0
1188039255,Urban,1833.17,20,Farmer,Not Eligible,62.08,2,1,0,0,1,0,2,2,0,2,3,1,0,0,0,0,1,2,1,0,1,0,0,1,1,1,0,1,1,5,1
1247419746,Rural,1622.55,25,Student,Not Eligible,63.07,3,1,0,3,0,1,2,0,0,3,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,3,0,3,1
1158526843,Urban,2354.99,73,Lawyer,Not Eligible,60.36,2,1,1,2,2,0,1,2,0,2,3,1,1,0,0,3,0,0,1,0,1,0,0,1,1,1,0,3,1,0,1
1341155258,Rural,1917.95,47,Lawyer,Not Eligible,67.84,2,0,1,0,0,1,2,1,0,2,2,0,2,2,0,1,0,2,0,0,2,0,0,1,1,0,0,0,0,1,0
1688300876,Urban,2710.8,76,Lawyer,Not Eligible,68.17,0,0,1,3,2,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,3,0,1,1
1089456167,Rural,553.32,23,Student,Not Eligible,67.16,1,0,0,0,0,0,0,2,0,3,1,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,3,1,3,1
1495302071,Rural,1941.1,20,Farmer,Not Eligible,65.74,2,0,0,1,2,1,2,2,0,3,1,0,0,2,0,2,1,2,0,0,1,1,0,2,0,0,0,1,0,2,1
1786982660,Rural,2670.79,21,Private Service,Not Eligible,60.14,2,1,1,3,2,0,2,2,0,2,3,1,1,0,0,0,2,1,1,0,2,1,0,0,0,0,0,2,1,0,1
1968476543,Urban,594.05,23,Student,Not Eligible,67.02,1,2,0,2,0,0,2,1,0,1,1,1,1,1,0,3,2,1,0,0,0,0,0,1,0,1,0,0,0,2,1
1467406431,Urban,1625.19,50,Govt. Service,Not Eligible,63.59,2,1,1,2,2,1,1,2,0,0,0,1,0,2,0,1,2,1,1,0,2,1,0,0,2,1,0,0,0,3,2
1211356230,Urban,1221.43,32,Doctor,Not Eligible,60.19,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,2,0,0,1,1,1,0,0,0,4,1
1745085102,Rural,1768.63,22,Govt. Service,Not Eligible,64.73,3,0,0,0,0,0,2,2,0,3,0,0,3,0,0,2,2,1,1,0,1,1,0,2,2,1,0,2,1,4,0
1736266038,Rural,575.25,31,Business,Not Eligible,66.57,0,2,1,2,0,1,0,1,0,3,3,1,2,1,0,1,1,0,1,0,2,1,0,1,0,0,0,2,1,1,0
1790557486,Rural,2076.35,35,Lawyer,Not Eligible,63.33,0,1,0,2,1,1,2,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,2,1,0,0,1,1,4,1
1019745455,Rural,2289.09,25,Student,Not Eligible,68.46,3,0,1,0,2,0,0,2,0,2,1,1,1,2,0,1,0,2,0,0,1,1,0,2,2,1,0,1,1,1,0
1620952672,Rural,1942.42,76,Lawyer,Not Eligible,66.02,2,0,1,1,2,0,2,0,0,1,1,1,2,2,0,1,1,2,0,0,2,0,0,1,1,0,0,2,1,1,1
1982829582,Urban,2834.89,56,Lawyer,Not Eligible,69.62,0,1,0,3,2,1,0,2,0,2,3,0,0,2,0,0,1,1,1,0,1,0,0,2,0,0,0,2,0,4,2
1859990256,Rural,2156.62,64,Farmer,Not Eligible,68.23,1,0,1,1,1,0,2,2,0,1,0,0,3,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,1,5,1
1325822607,Urban,2872.66,22,Student,Not Eligible,63.42,1,1,1,1,2,0,2,0,0,2,3,0,0,1,0,2,1,0,0,0,1,1,0,2,0,0,0,0,0,2,2
1165942913,Rural,2326.59,36,Business,Not Eligible,69.21,0,1,1,3,2,0,2,2,0,1,3,0,3,1,0,2,1,2,0,0,1,1,0,2,1,1,0,2,0,3,2
1250517612,Rural,2530.43,20,Student,Not Eligible,63.31,1,0,0,0,0,1,2,0,0,1,0,0,2,1,0,3,1,0,1,0,2,0,0,2,2,1,0,1,1,4,1
1619295469,Rural,547.89,56,Private Service,Not Eligible,68.02,1,0,1,0,1,1,2,1,0,3,0,0,3,2,0,1,0,2,0,0,0,1,0,0,1,1,0,3,0,0,1
1389536777,Urban,1137.96,35,House Wife,Not Eligible,66.66,0,2,1,0,1,0,1,1,0,2,3,1,3,2,0,3,1,1,1,0,1,1,0,1,0,1,0,2,1,2,1
1338637625,Urban,867.52,51,Private Service,Not Eligible,63.1,2,0,0,1,0,1,2,0,0,0,1,0,0,2,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1
1281853866,Rural,2894.79,31,Private Service,Not Eligible,62.84,2,0,1,0,2,0,1,0,0,3,1,1,2,2,0,1,2,2,0,0,1,1,0,1,0,0,0,1,1,4,0
1379479715,Urban,2132.96,23,Govt. Service,Not Eligible,60.8,2,1,0,2,1,0,0,1,0,3,2,1,2,1,0,0,0,0,1,0,1,1,0,1,2,0,0,1,0,1,0
1304874091,Rural,1203.03,77,Engineer,Not Eligible,66.78,1,1,1,0,0,1,0,1,0,0,2,0,3,1,0,3,2,0,1,0,0,1,0,0,2,0,0,0,1,1,2
1101684813,Rural,759.04,60,Farmer,Not Eligible,69.83,3,0,1,1,1,1,2,0,0,2,3,1,3,0,0,2,1,1,1,0,2,1,0,2,1,1,0,1,1,3,2
1356664499,Rural,2125.26,35,Lawyer,Not Eligible,64.55,2,2,1,0,1,0,2,1,0,1,2,0,3,1,0,3,0,1,0,0,0,1,0,1,0,0,0,2,1,5,0
1398045201,Urban,1583.81,28,Farmer,Not Eligible,61.8,2,1,0,3,2,1,0,2,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,4,0
1918806999,Rural,1052.25,19,Student,Not Eligible,65.21,1,0,1,2,2,1,1,1,0,0,3,0,1,0,0,0,1,0,1,0,2,1,0,2,1,0,0,1,0,5,2
1200165800,Rural,1547.01,32,Farmer,Not Eligible,62.74,2,2,0,0,0,1,1,2,0,3,1,0,1,0,0,2,0,0,1,0,2,1,0,1,1,0,0,3,1,2,1
1846651161,Rural,2108.01,47,Farmer,Not Eligible,62.33,2,1,0,0,1,0,2,2,0,0,2,0,0,0,0,1,0,2,1,0,2,0,0,2,0,0,0,3,0,3,1
1048655546,Rural,1417.74,75,Doctor,Not Eligible,69.67,2,1,0,0,0,0,2,2,0,1,3,1,3,0,0,2,1,0,1,0,0,0,0,2,0,1,0,0,1,0,0
1007195970,Rural,2552.45,38,Doctor,Not Eligible,69.16,3,0,1,3,2,0,0,2,0,3,3,0,3,1,0,3,1,1,0,0,1,0,0,1,2,1,0,0,1,5,2
1147003675,Rural,2788.58,25,Student,Not Eligible,61.17,0,2,0,1,1,0,2,0,0,2,2,1,0,2,0,2,2,0,0,0,0,0,0,1,2,0,0,2,1,2,0
1797420991,Rural,1046.8,54,Farmer,Not Eligible,60.98,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,0,1,1
1470448659,Urban,1462.41,24,Student,Not Eligible,60.94,3,1,1,3,0,1,2,1,0,3,3,0,3,1,0,0,0,1,1,0,0,1,0,0,2,1,0,3,0,3,1
1789952717,Urban,1766.27,31,Farmer,Not Eligible,60.18,0,2,1,3,2,0,2,0,0,1,3,1,1,0,0,0,2,0,0,0,2,0,0,1,0,1,0,3,1,1,2
1495329452,Rural,2225.26,39,Business,Not Eligible,68.38,0,1,1,3,0,1,1,1,0,1,2,1,3,1,0,0,1,2,0,0,0,0,0,2,2,1,0,2,1,4,2
1247477434,Urban,1248.64,50,Business,Not Eligible,63.51,1,2,1,1,0,0,2,2,0,0,2,1,0,0,0,3,1,1,1,0,1,1,0,1,2,1,0,3,1,2,2
1379328824,Urban,2216.77,48,House Wife,Not Eligible,61.88,3,2,0,1,0,1,1,1,0,2,2,0,2,0,0,2,2,0,0,0,2,0,0,2,2,0,0,2,0,3,0
1516735676,Urban,2993.47,34,Private Service,Not Eligible,66.59,3,0,1,3,0,1,2,1,0,2,1,0,2,1,0,0,1,2,0,0,1,0,0,1,1,0,0,0,1,2,2
1970212754,Rural,1317.62,49,Engineer,Not Eligible,61.38,0,1,0,1,1,1,1,1,0,1,3,1,1,0,0,0,2,0,0,0,1,0,0,2,2,1,0,2,1,2,2
1280207610,Urban,2933.8,21,Student,Not Eligible,68.64,1,0,1,1,2,1,0,2,0,1,1,0,0,1,0,3,2,1,1,0,2,1,0,1,1,0,0,2,0,2,0
1482443588,Rural,1331.03,41,Farmer,Not Eligible,68.55,2,2,0,1,1,0,2,2,0,2,3,0,1,2,0,2,1,1,0,0,1,1,0,0,0,0,0,3,0,2,1
1806695359,Rural,578.74,55,Farmer,Not Eligible,65.84,0,1,0,3,1,1,1,0,0,3,1,0,0,0,0,1,1,2,0,0,2,1,0,0,0,1,0,3,1,0,1
1866156901,Rural,2863.07,24,Govt. Service,Not Eligible,60.63,3,2,1,0,0,0,2,0,0,2,0,0,3,0,0,0,1,0,1,0,1,0,0,1,2,0,0,1,0,3,2
1673097500,Urban,1838.26,33,Private Service,Not Eligible,62.74,3,1,0,1,2,1,0,1,0,3,1,0,0,2,0,3,1,0,1,0,1,1,0,2,1,1,0,1,0,3,2
1384801134,Rural,1364.12,30,Doctor,Not Eligible,67.65,1,2,1,3,0,0,1,1,0,1,0,0,3,2,0,3,1,0,1,0,0,1,0,0,1,0,0,3,1,5,2
1781464349,Urban,652.32,21,Student,Not Eligible,60.54,0,2,1,2,0,0,0,1,0,3,2,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,3,1,4,0
1073339743,Urban,915.51,33,Farmer,Not Eligible,63.44,3,1,0,1,0,1,2,1,0,3,2,1,3,0,0,2,2,0,1,0,2,1,0,0,0,0,0,1,1,5,2
1528543294,Urban,2015.95,18,Student,Not Eligible,68.25,2,0,0,3,2,0,2,1,0,2,0,0,2,2,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,1,2
1813771682,Urban,1433.47,42,Farmer,Not Eligible,60.84,3,2,1,1,0,0,1,1,0,2,1,0,1,2,0,2,1,2,1,0,2,0,0,2,1,0,0,1,1,3,2
1197051901,Rural,2167.84,36,Engineer,Not Eligible,61.31,1,0,0,3,0,0,0,1,0,0,0,1,3,1,0,3,2,0,0,0,2,0,0,0,0,1,0,0,0,1,1
1707549384,Rural,2581.73,36,House Wife,Not Eligible,64.72,0,0,1,2,1,0,1,2,0,2,1,0,0,2,0,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,2
1029055731,Rural,2921.13,50,Farmer,Not Eligible,68.25,3,0,0,3,0,0,2,1,0,3,1,0,2,1,0,1,1,1,1,0,2,1,0,2,2,0,0,2,1,4,0
1136557034,Rural,974.2,26,Farmer,Not Eligible,61.08,1,1,1,0,2,0,0,0,0,0,0,1,3,1,0,1,0,2,0,0,0,1,0,0,2,1,0,1,1,4,2
1494737619,Rural,1815.07,32,Farmer,Not Eligible,60.16,2,1,1,1,2,1,0,1,0,2,0,1,1,1,0,0,1,1,0,0,1,0,0,0,2,1,0,1,1,3,0
1170404220,Urban,2663.37,50,Doctor,Not Eligible,63.62,3,1,1,2,2,1,0,0,0,1,3,0,2,0,0,2,0,2,0,0,0,1,0,1,1,0,0,1,0,3,0
1282395934,Urban,1658.63,74,Doctor,Not Eligible,64.77,2,1,1,3,1,0,2,1,0,2,0,0,2,1,0,0,2,1,0,0,0,0,0,1,2,1,0,2,1,3,2
1525373879,Rural,2486.76,52,Farmer,Not Eligible,67.82,3,1,1,3,1,0,0,1,0,0,0,0,3,2,0,0,0,2,1,0,1,1,0,1,2,0,0,0,1,5,1
1554026327,Rural,2464.03,42,Business,Not Eligible,65.75,1,1,0,1,2,1,1,0,0,0,3,1,0,2,0,3,0,1,0,0,0,0,0,2,2,0,0,2,1,3,2
1192655030,Urban,2724.25,24,Student,Not Eligible,65.09,0,0,0,0,0,0,1,2,0,2,2,1,2,2,0,0,1,2,0,0,0,0,0,1,1,0,0,2,1,4,0
1435296958,Rural,2069.79,18,Student,Not Eligible,63.51,1,1,1,1,1,0,2,1,0,1,1,1,0,0,0,0,2,1,1,0,2,1,0,2,2,1,0,0,1,5,2
1605349878,Urban,2828.42,31,Business,Not Eligible,67.61,2,0,1,0,0,0,2,2,0,2,3,0,0,1,0,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0
1237033405,Rural,2586.3,47,Engineer,Not Eligible,66.94,3,1,1,0,0,1,2,1,0,3,3,1,1,0,0,0,2,2,0,0,1,0,0,1,0,0,0,3,1,0,0
1380903090,Rural,2560.69,21,Student,Not Eligible,60.97,0,2,1,2,1,0,0,0,0,1,3,1,3,2,0,3,2,2,1,0,2,1,0,1,1,1,0,0,1,4,1
1158675959,Rural,2329.01,53,Farmer,Not Eligible,61.17,1,0,1,1,0,1,1,2,0,3,0,1,3,0,0,1,0,2,0,0,1,1,0,0,2,1,0,0,0,2,2
1846926846,Rural,1336.05,27,Business,Not Eligible,63.0,3,1,1,3,2,1,2,0,0,0,0,1,0,2,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0
1276780578,Rural,662.49,18,Student,Not Eligible,69.37,0,1,1,3,1,1,0,1,0,0,2,0,3,1,0,3,2,2,0,0,2,0,0,2,2,1,0,2,1,1,2
1591730761,Rural,786.04,43,Private Service,Not Eligible,61.06,1,0,0,2,2,0,0,2,0,2,1,0,1,1,0,1,2,0,1,0,1,1,0,1,2,0,0,2,1,4,0
1605733125,Rural,1625.16,25,Student,Not Eligible,62.73,2,0,1,0,0,1,1,2,0,1,0,1,0,2,0,2,2,2,1,0,1,0,0,0,0,0,0,3,1,2,2
1054959623,Rural,533.79,43,House Wife,Not Eligible,60.34,2,2,1,3,2,1,2,2,0,1,2,1,3,2,0,2,1,0,1,0,1,0,0,0,1,1,0,0,0,3,1
1021089269,Urban,2923.95,31,Business,Not Eligible,65.58,3,2,0,2,2,0,1,0,0,2,0,1,1,2,0,3,2,1,1,0,2,0,0,2,1,0,0,1,1,4,0
1407686760,Urban,1785.05,59,Private Service,Not Eligible,63.34,2,2,0,1,0,0,1,1,0,2,1,1,3,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,1,1,1
1104506976,Urban,2387.3,26,Farmer,Not Eligible,68.92,0,2,0,1,1,0,2,1,0,3,0,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,3,0,4,2
1735657468,Rural,955.95,23,Farmer,Not Eligible,65.46,0,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,2,0,1,0,2,1,0,0,1,0,0,1,0,3,2
1316196461,Rural,2143.57,27,Business,Not Eligible,64.98,3,2,0,0,0,0,0,2,0,1,3,1,1,1,0,2,1,1,0,0,2,1,0,1,2,1,0,3,1,5,2
1735998414,Rural,2642.96,41,Private Service,Not Eligible,65.07,1,2,0,2,1,0,0,1,0,0,0,0,3,0,0,3,2,1,1,0,2,0,0,1,2,1,0,2,1,1,1
1580320592,Rural,1474.82,35,Farmer,Not Eligible,68.26,0,1,0,3,1,0,0,1,0,3,2,1,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,5,1
1912599065,Rural,1796.69,40,Engineer,Not Eligible,61.98,2,0,1,0,0,0,0,1,0,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0
1818617106,Rural,1429.7,37,Govt. Service,Not Eligible,67.89,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,2,1,0,2,2,1,0,0,0,5,0
1099760098,Rural,2810.9,45,Lawyer,Not Eligible,66.66,0,1,0,3,1,0,0,0,0,1,3,1,0,0,0,3,1,1,0,0,1,1,0,2,0,1,0,1,0,2,0
1900529966,Urban,2772.6,30,Engineer,Not Eligible,61.17,1,1,1,2,2,1,1,1,0,1,2,0,3,2,0,2,0,0,1,0,0,0,0,2,0,0,0,1,1,5,1
1976546515,Rural,1257.0,18,Student,Not Eligible,61.0,1,2,1,2,2,1,2,2,0,1,0,0,2,2,0,2,1,0,0,0,1,0,0,2,2,0,0,3,0,3,1
1852114750,Rural,2361.95,59,Lawyer,Not Eligible,68.36,1,0,0,2,1,0,0,2,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,2
1922694799,Urban,1658.87,30,House Wife,Not Eligible,61.35,0,2,0,3,2,0,1,2,0,0,2,0,2,2,0,2,2,2,0,0,1,0,0,0,1,0,0,0,0,5,0
1547812272,Urban,2860.04,47,Business,Not Eligible,68.02,0,0,1,2,2,0,0,0,0,2,0,0,2,2,0,2,2,2,1,0,1,0,0,0,0,1,0,2,0,2,0
1829654026,Rural,1285.74,69,Lawyer,Not Eligible,61.01,0,2,0,1,0,0,1,2,0,1,3,1,1,0,0,3,0,2,0,0,0,1,0,2,1,1,0,3,0,2,0
1275927463,Rural,725.17,36,House Wife,Not Eligible,67.97,0,1,1,0,2,1,1,2,0,2,0,1,2,1,0,3,2,1,1,0,2,0,0,1,2,0,0,0,0,0,2
1436797060,Rural,812.03,27,Business,Not Eligible,63.93,0,2,1,3,0,0,0,1,0,2,3,1,1,2,0,2,1,2,1,0,1,0,0,2,0,1,0,1,1,0,1
1303270770,Urban,1132.83,37,Farmer,Not Eligible,69.46,3,0,1,1,2,1,0,2,0,1,1,0,1,1,0,0,1,2,1,0,0,0,0,2,2,0,0,0,0,4,0
1545083456,Rural,1374.09,30,House Wife,Not Eligible,64.91,1,0,1,1,0,0,1,2,0,3,0,1,2,0,0,2,0,0,0,0,0,0,0,2,2,1,0,2,0,2,0
1635605558,Rural,2525.1,41,Farmer,Not Eligible,66.79,0,2,1,3,2,1,1,2,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,2,1
1880182584,Rural,832.14,38,House Wife,Not Eligible,68.97,3,0,0,0,2,1,1,0,0,0,0,0,1,2,0,3,2,0,0,0,2,1,0,2,0,0,0,0,1,0,1
